Overs Remaining,0,1,2,3,4,5,6,7,8,9
20.0,100.0,96.8,92.0,84.9,76.0,68.2,53.5,37.7,21.8,8.3
19.83,99.35,96.21666666666667,91.48333333333333,84.45,75.63333333333333,67.93333333333334,53.31666666666666,37.6,21.766666666666666,8.3
19.67,98.7,95.63333333333333,90.96666666666667,84.0,75.26666666666667,67.66666666666667,53.13333333333333,37.5,21.733333333333334,8.3
19.5,98.05,95.05,90.45,83.55000000000001,74.9,67.4,52.95,37.400000000000006,21.700000000000003,8.3
19.33,97.39999999999999,94.46666666666667,89.93333333333334,83.10000000000001,74.53333333333333,67.13333333333333,52.766666666666666,37.300000000000004,21.666666666666668,8.3
19.17,96.75,93.88333333333333,89.41666666666667,82.65,74.16666666666666,66.86666666666666,52.58333333333333,37.2,21.633333333333333,8.3
19.0,96.1,93.3,88.9,82.2,73.8,66.6,52.4,37.1,21.6,8.3
18.83,95.44999999999999,92.68333333333334,88.35000000000001,81.73333333333333,73.41666666666666,66.33333333333333,52.2,36.983333333333334,21.55,8.3
18.67,94.8,92.06666666666666,87.8,81.26666666666667,73.03333333333333,66.06666666666666,52.0,36.86666666666667,21.5,8.3
18.5,94.15,91.44999999999999,87.25,80.80000000000001,72.65,65.8,51.8,36.75,21.450000000000003,8.3
18.33,93.5,90.83333333333333,86.7,80.33333333333334,72.26666666666667,65.53333333333333,51.6,36.63333333333333,21.400000000000002,8.3
18.17,92.85,90.21666666666667,86.14999999999999,79.86666666666667,71.88333333333333,65.26666666666667,51.400000000000006,36.516666666666666,21.35,8.3
18.0,92.2,89.6,85.6,79.4,71.5,65.0,51.2,36.4,21.3,8.3
17.83,91.53333333333333,88.94999999999999,85.01666666666667,78.9,71.08333333333333,64.71666666666667,50.983333333333334,36.266666666666666,21.25,8.3
17.67,90.86666666666667,88.3,84.43333333333332,78.4,70.66666666666667,64.43333333333334,50.766666666666666,36.13333333333333,21.2,8.3
17.5,90.2,87.65,83.85,77.9,70.25,64.15,50.55,36.0,21.15,8.3
17.33,89.53333333333333,87.0,83.26666666666667,77.4,69.83333333333333,63.86666666666667,50.333333333333336,35.86666666666667,21.1,8.3
17.17,88.86666666666667,86.35,82.68333333333332,76.9,69.41666666666667,63.58333333333333,50.11666666666667,35.733333333333334,21.05,8.3
17.0,88.2,85.7,82.1,76.4,69.0,63.3,49.9,35.6,21.0,8.3
