Balls Bowled,Wickets Lost: 0,Wickets Lost: 1,Wickets Lost: 2,Wickets Lost: 3,Wickets Lost: 4,Wickets Lost: 5,Wickets Lost: 6,Wickets Lost: 7,Wickets Lost: 8,Wickets Lost: 9
1,99.98828684063147,100.0,,,,,,,,
2,99.47360302115436,99.6747704514393,100.0,,,,,,,
3,98.92351408586657,99.21084897761477,99.69325153374233,,,,,,,
4,98.32527630701615,98.69249211304319,99.66070451337885,,,,,,,
5,97.66422112992969,98.27620008360898,98.88023579451153,,,,,,,
6,97.02804766210306,97.61013730266234,98.5704217532682,,,,,,,
7,96.1825194328871,96.92916748169422,97.25279098361412,,,,,,,
8,95.49306701520177,96.11235329652554,96.43526420949702,97.33333333333334,,,,,,
9,94.80937610654858,95.42393858083088,96.1220013549686,97.33333333333334,,,,,,
10,94.17978319738857,94.45969010302485,95.01189511628918,93.42268041237114,,,,,,
11,93.38099275815529,93.9534843433477,93.31432377288195,94.29348284801351,,,,,,
12,92.54260340718446,93.41502730141063,92.72108242704826,88.28214883511842,,,,,,
13,91.44543322692506,92.39759797896743,91.87104257985061,88.87248621773134,90.66666666666666,,,,,
14,90.64120627412612,91.59998386948176,91.23604865779103,87.95839339202986,91.76190476190476,,,,,
15,89.72463179397548,90.89724542799216,90.8364221547402,87.81668930907482,91.76190476190476,,,,,
16,88.84062021314263,90.15220919345987,89.76202162811971,87.93019332251019,91.42857142857144,90.66666666666666,,,,
17,87.9289419151039,89.23924215305688,89.22632605075131,89.8914332185977,72.60975018190639,90.66666666666666,,,,
18,87.13921802827359,88.53703720910431,88.08619416590345,88.52764872493043,76.90694633606348,90.66666666666666,,,,
19,86.10668128628694,87.68395631356995,87.21721858179018,86.72146179702806,75.70798118124095,89.33333333333333,,,,
20,85.32899735154174,86.84314805076946,86.56064430697171,85.97660485166644,74.4275623923332,89.33333333333333,,,,
21,84.35198689896383,85.88576226696587,85.91409866333535,85.55291868915992,80.26020993031744,89.33333333333333,,,,
22,83.55395323585918,84.8671355464165,85.16477166416011,84.91887400587159,80.26292575892587,89.33333333333333,,,,
23,82.7163929244003,84.02507293466955,84.56910550874825,84.33667637568642,79.229559046078,,89.33333333333333,,,
24,81.90616668337387,83.18656876992178,83.95748839795891,83.81814598999425,83.95059436393586,12.903225806451612,89.33333333333333,,,
25,80.94870293929901,82.16170281339497,83.16205072100247,82.38260518947985,84.02114384257726,12.903225806451612,88.0,,,
26,80.09196684136458,81.37531914390806,82.09517938902418,81.52608917509666,81.71511408092259,11.29032258064516,88.0,,,
27,79.14887984910236,80.55785164468739,81.20343821272311,80.98901704884038,80.92630601608793,9.67741935483871,88.0,,,
28,78.14986124683212,79.74788066154694,80.38666125431695,79.64702567878876,80.30906576000311,86.80555555555556,48.03225806451613,,,
29,77.35000284453466,78.72760227954373,79.55233833259422,78.65951942874312,80.06714295703443,86.80555555555556,48.03225806451613,,,
30,76.45793770822789,77.75045952429188,78.77519801043452,78.00832826138355,78.41749389984439,84.55662393162393,85.33333333333334,1.6129032258064515,,
31,75.54171763619333,76.89614134853217,77.72051384533283,77.30239781493849,77.24336478420796,84.55662393162393,85.33333333333334,1.6129032258064515,,
32,74.92456458528964,75.86892986260892,76.71299243090763,76.45399071226117,76.73842133672849,83.30765482081272,84.0,,,
33,74.08430020810165,74.87580958805553,75.97360231670564,75.70674020231925,74.3161789020866,81.40931254418096,82.66666666666667,,,
34,73.04130947505114,74.1743967104457,74.99238271079942,74.9844522701516,73.12274674138902,78.83374110666568,82.66666666666667,,,
35,72.06279130736067,73.16173645118432,74.28438763999469,74.20107133764165,71.7053689934252,78.51941362128557,82.66666666666667,,,
36,71.11133956073029,72.50149340068602,73.29136466632615,73.53917613813948,70.0475053341315,76.35938234525554,82.66666666666667,,,
37,70.223175928928,71.51843258450478,71.92478213967945,72.90424895935338,68.67616732945153,70.72961326564652,81.26388888888889,,,
38,69.75032628297627,70.96300973345076,71.3709729227392,72.0753566316525,68.83823254963248,69.20029511193239,80.59722222222223,,,
39,68.81450943395224,70.50730991952629,70.53103092557112,71.48660509552003,68.45513262648934,67.92074454808747,77.58333333333333,,,
40,68.2665053112165,69.76596334181953,69.81950052850792,71.18427958947976,67.51167672668772,64.59683907212015,75.60769980506822,,,
41,67.41046416139405,69.25925185071044,68.95619138431478,70.44688498308484,67.02695507763373,64.830623651599,66.45491574727195,,,
42,66.60222964508243,68.58899958818336,68.30118347680518,69.60960529020717,66.19465369017124,64.76351092255939,65.69023934406462,,,
43,65.92827616549566,67.5780143064005,67.49881256226357,68.34310678465236,66.07843380881702,64.73044651113572,66.66267257490806,,,
