Balls Bowled,Wickets Lost: 0,Wickets Lost: 1,Wickets Lost: 2,Wickets Lost: 3,Wickets Lost: 4,Wickets Lost: 5,Wickets Lost: 6,Wickets Lost: 7,Wickets Lost: 8,Wickets Lost: 9
0,100.0,82.99504202161091,74.76820774161118,66.25033698320424,57.44909084913421,48.37833795526023,39.059290165759634,29.52132511684347,19.80203248785592,9.945785463823377
1,99.79845371108333,82.8444035078294,74.64794189140157,66.15775735731066,57.38107058285856,48.3313365019837,39.02942883015293,29.504531200151135,19.794270031656307,9.94337631681635
2,99.59283591705311,82.69052557963535,74.52491142937018,66.06289192944175,57.311236548882626,48.28297278175563,38.998619594001596,29.48714808263002,19.786203203665593,9.940860113847753
3,99.38306436805014,82.53333857485892,74.39905280398918,65.96568426287484,57.23954038289602,48.23320731130227,38.96683236771237,29.46915509265106,19.777820069235155,9.938232097640892
4,99.16905515265783,82.37277133327615,74.27030100283972,65.86607652745792,57.16593243094882,48.18199946298609,38.93403610654578,29.45053083333797,19.769108225749743,9.935487299518593
5,98.9507226643365,82.20875116439409,74.13858951902961,65.76400946520556,57.090361715063224,48.12930743163817,38.900198780296535,29.431253157122587,19.760054784278175,9.932620530009146
6,98.72797956717973,82.04120381454295,74.00385031683916,65.65942235504569,57.012775897928165,48.07508820042917,38.86528734201148,29.41129913940742,19.750646350504496,9.929626369034777
7,98.50073676097867,81.87005343326072,73.86601379657726,65.55225297669571,56.933121246652554,48.01929750575118,38.829267695714556,29.390645051304233,19.740869004911474,9.926499155664155
8,98.26890334558092,81.69522253895485,73.72500875862954,65.44243757364687,56.85134259555202,47.96188980108169,38.79210466310726,29.369266331416156,19.730708282187067,9.923232977409512
9,98.03238658452914,81.51663198382553,73.58076236668016,65.3299108152346,56.76738330794326,47.902818219800245,38.753761949212006,29.347137556629818,19.720149149823367,9.919821659048147
10,97.79109186796533,81.3342009180346,73.4332001100881,65.21460575777246,56.681185236919774,47.84203453692737,38.71420210692496,29.324232411882694,19.709175985876445,9.916258750947202
11,97.54492267478557,81.147846753104,73.2822457653986,65.09645380472648,56.59268868508152,47.779489129754545,38.67338650044359,29.300523658869825,19.697772555854115,9.91253751686963
12,97.29378053403028,80.95748512452714,73.1278213569699,64.97538466590603,56.5018323631909,47.71513093733313,38.63127526753336,29.2759831036526,19.685921988697437,9.90865092123826
13,97.0375649854945,80.76302985357606,72.96984711669475,64.85132631564738,56.40855334772622,47.648907418789136,38.58782728059657,29.25058156313115,19.673606751820472,9.904591615833958
14,96.77617353954263,80.56439290828754,72.80824144279617,64.72420494996454,56.3127870373033,47.58076451042976,38.54300010650543,29.224288830340402,19.660808625171292,9.900351925902642
15,96.50950163611101,80.36148436361005,72.64292085767593,64.59394494264237,56.21446710793517,47.5106465816068,38.496749965160085,29.19707363852864,19.647508674275922,9.895923835644975
16,96.23744260288257,80.15421236069368,72.47379996479408,64.46046880024545,56.113525467098576,47.43849638930077,38.44903168673112,29.168903623975734,19.633687222225316,9.891298973061222
17,95.95988761261654,79.94248306530471,72.30079140455733,64.32369711601626,56.00989220657585,47.3642550313887,38.39979866754483,29.139745287506912,19.61932382056391,9.88646859412268
18,95.67672563961604,79.7262006253459,72.12380580919327,64.18354852263494,55.90349555403919,47.28786189855756,38.349002824568096,29.10956395465625,19.60439721903669,9.881423566239718
19,95.38784341531628,79.50526712746311,71.94275175658737,64.03993964381287,55.794261823343966,47.20925462482384,38.296594548448496,29.078323734432566,19.588885334150056,9.876154350995176
20,95.09312538297577,79.279582552719,71.75753572305887,63.89278504469092,55.68211536349663,47.128369036619134,38.2425226550637,29.045987476638604,19.57276521649986,9.870650986110501
21,94.79245365145194,79.04904473131336,71.56806203505086,63.74199718101314,55.5669785062617,47.04513910039994,38.18673433553295,29.01251672769284,19.55601301681844,9.864903066610488
22,94.48570794804316,78.81354929632973,71.3742328197101,63.58748634704549,55.44877151237193,46.9594968687391,38.12917510464164,28.977871684901285,19.53860395069027,9.858899725151039
23,94.17276557037806,78.57298963648738,71.17594795433067,63.42916062220866,55.32741251630391,46.87137242485473,38.06978874762881,28.942011149124994,19.5205122618841,9.85262961147275
24,93.85350133733296,78.32725684787735,70.97310501463545,63.266925816393346,55.2028174695813,46.78069382553137,38.00851726528544,28.904892475786948,19.501711184247345,9.846080870941462
25,93.52778753895775,78.07623968466041,70.76559922186873,63.100685413925206,55.07490008256607,46.687387042386916,37.94530081730997,28.866471524160016,19.48217290210627,9.839241122135208
26,93.19549388539016,77.81982450870485,70.55332338867265,62.93034051614642,54.943571764697786,46.591375901437104,37.88007766386577,28.82670260487577,19.461868509113508,9.832097433435202
27,92.85648745473813,77.55789523814144,70.33616786371944,62.75578978257958,54.80874156313916,46.492582020908465,37.81278410528341,28.785538425591668,19.440767965481886,9.824636298576571
28,92.51063263990923,77.29033329481179,70.11402047507089,62.576929370638794,54.67031609978577,46.390924747248846,37.743354419848906,28.742930034752025,19.418840053541423,9.816843611112658
29,92.15779109436606,77.01701755058681,69.88676647223582,62.393652873852375,54.52819950659602,46.286321089283305,37.67172079961712,28.698826763375845,19.39605233155363,9.80870463774455
30,91.79782167678582,76.73782427253079,69.65428846689554,62.20585125856024,54.38229335919667,46.178685650461595,37.59781328418768,28.653176164802414,19.37237108571486,9.800203990465478
31,91.43058039460182,76.45262706688605,69.41646637226684,62.0134127990482,54.23249660871803,46.06793055914195,37.521559692378716,28.60592395232281,19.34776128027767,9.791325597467372
32,91.05592034640453,76.1612968218533,69.17317734107098,61.81622301108095,54.07870551181144,45.953965396854265,37.4428855517317,28.557013934623356,19.32218650571642,9.782052672754581
33,90.6736916631792,75.8637016491412,68.92429570207682,61.61416458379377,53.92081355880072,45.836697124484054,37.36171402577847,28.506387948964083,19.295608924860353,9.772367684407318
34,90.28374144835604,75.55970682425928,68.66969289518512,61.407117309902766,53.75871139991774,45.71603000631703,37.27796583899959,28.45398579201288,19.26798921691458,9.762252321434806
35,89.88591371664971,75.24917472552666,68.40923740502079,61.19495801419185,53.592286769571075,45.59186553188213,37.19155919940048,28.399745148252983,19.239286519286043,9.751687459155491
36,89.48004933166315,74.93196477176922,68.1427946929984,60.97756048023426,53.42142440859524,45.464102335529375,37.10240971862994,28.343601515878696,19.20945836712843,9.740653123038808
37,89.06598594223071,74.6079333586771,67.87022712782606,60.754795375304596,53.246005984426766,45.332636113676756,37.01043032956297,28.285488130091235,19.17846063051662,9.729128450940213
38,88.64355791747569,74.27693379379346,67.59139391441197,60.52653017343711,53.06591000915163,45.19735953965866,36.915531201267335,28.225335883703462,19.14624744915769,9.717091653658018
39,88.2125962805558,73.93881623010522,67.30615102113642,60.2926290765842,52.88101175536759,45.05816217610631,36.81761965127089,28.163073244959126,19.112771164541865,9.704519973737481
40,87.77292864106998,73.59342759820578,67.01435110545215,60.052952933828294,52.691183169802805,44.91493038478866,36.71660005504405,28.09862617246882,19.077982249433077,9.691389642444273
41,87.32437912610015,73.24061153699886,66.71584343777437,59.807359158599134,52.49629278463122,44.76754723384021,36.61237375260878,28.031918027161545,19.0418292345948,9.677675834825944
42,86.8667683098596,72.88020832291215,66.4104738236212,59.55570164384708,52.296205626423074,44.61589240229992,36.504838952183185,27.96286948114722,19.00425863264272,9.663352622776472
43,86.39991314192021,72.51205479758883,66.09808452396439,59.297830675122036,52.09078312266761,44.4598420818833,36.393890630767345,27.891398423381606,18.96521485891166,9.648392926015081
44,85.92362687399006,72.1359842940239,65.77851417374897,59.033592841506355,51.87988300580324,44.29926887590762,36.27942043157346,27.817419862021666,18.924640149219577,9.632768460886748
45,85.43771898521139,71.75182656111244,65.45159769854,58.76283094434856,51.66335921468852,44.134041695287465,36.16131655820006,27.740845823355073,18.88247447440708,9.616449686887492
46,84.94199510594979,71.359407686575,65.11716622925314,58.48538390374378,51.44106179344604,43.96402565151599,36.039463665446945,27.66158524718377,18.83865545152593,9.599405750813428
47,84.43625694004385,70.95855001822574,64.77504701492515,58.20108666270515,51.212836787608786,43.78908194654439,35.91374274666423,27.579543878537145,18.793118251545213,9.581604428427932
48,83.92030218548393,70.54907208354734,64.42506333347919,57.90977008896915,50.978526137497404,43.609067759469625,35.78403101752543,27.49462415558605,18.74579550343857,9.563012063536668
49,83.39392445348875,70.13078850753655,64.06703440043877,57.61126087437655,50.73796756875419,43.423836129937996,35.65020179611116,27.406725093624363,18.696617194510626,9.543593504355272
50,82.85691318594701,69.70350992878285,63.70077527554343,57.305381431769064,50.490994479958296,43.233235838169364,35.51212437918625,27.31574216498017,18.645510566815183,9.52331203704938
51,82.30905357119144,69.26704291374264,63.326096767217486,56.99194978934034,50.2374358272441,43.03711128150404,35.36966391454947,27.221567174713694,18.592400009511792,9.50212931632136
