Balls Bowled,Wickets Lost: 0,Wickets Lost: 1,Wickets Lost: 2,Wickets Lost: 3,Wickets Lost: 4,Wickets Lost: 5,Wickets Lost: 6,Wickets Lost: 7,Wickets Lost: 8,Wickets Lost: 9
1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,98.26362609863281,98.26362609863281,98.26362609863281,98.26362609863281,98.26362609863281,98.26362609863281,98.26362609863281,98.26362609863281,98.26362609863281,98.26362609863281
3,97.85894012451172,97.85894012451172,97.85894012451172,97.85894012451172,97.85894012451172,97.85894012451172,97.85894012451172,97.85894012451172,97.85894012451172,97.85894012451172
4,97.24368286132812,97.24368286132812,97.24368286132812,96.9140396118164,96.0093002319336,95.75548553466797,95.63623046875,95.43465423583984,92.86804962158203,92.41502380371094
5,96.6261215209961,96.6261215209961,96.6261215209961,96.39328002929688,94.16810607910156,92.8233871459961,90.82603454589844,87.10755157470703,83.0298843383789,81.19760131835938
6,96.00856018066406,96.00856018066406,96.00856018066406,96.00856018066406,93.48836517333984,91.14521026611328,87.1270751953125,81.47370147705078,76.05351257324219,73.03205108642578
7,95.37970733642578,95.37970733642578,95.37970733642578,95.37970733642578,93.62493133544922,89.74600219726562,83.84349822998047,76.94457244873047,70.79708099365234,66.77364349365234
8,94.6081771850586,94.6081771850586,94.6081771850586,94.6081771850586,93.444580078125,88.17301177978516,81.40414428710938,73.48245239257812,66.5413818359375,61.50183868408203
9,93.82243347167969,93.82243347167969,93.82243347167969,93.82243347167969,93.57323455810547,87.40106964111328,79.9011001586914,71.17234802246094,63.28595733642578,57.53831100463867
10,93.21761322021484,93.21761322021484,93.21761322021484,93.21761322021484,93.21761322021484,87.16116333007812,79.14281463623047,69.56645965576172,60.725120544433594,54.35358428955078
11,92.59329986572266,92.59329986572266,92.59329986572266,92.59329986572266,92.28915405273438,87.25038146972656,78.83885192871094,68.53507232666016,58.94171905517578,51.909366607666016
12,91.75773620605469,91.75773620605469,91.75773620605469,91.58304595947266,90.46861267089844,87.48421478271484,78.85509490966797,68.01441192626953,57.66535568237305,50.033756256103516
13,90.91315460205078,90.91315460205078,90.91315460205078,90.86254119873047,88.86985778808594,87.23705291748047,79.15254211425781,67.97528839111328,56.743507385253906,48.651573181152344
14,89.98087310791016,89.98087310791016,89.98087310791016,89.98087310791016,87.6788330078125,85.27759552001953,79.6402816772461,68.32514953613281,56.16655349731445,47.76673889160156
15,89.11962127685547,89.11962127685547,89.11962127685547,89.11962127685547,86.70732116699219,83.52559661865234,80.28325653076172,68.88557434082031,56.074676513671875,47.20246124267578
16,88.32319641113281,88.32319641113281,88.32319641113281,88.32319641113281,85.8830795288086,82.21112823486328,79.37596130371094,69.63340759277344,56.58708190917969,46.89970397949219
17,87.52678680419922,87.52678680419922,87.52678680419922,87.52678680419922,85.18650817871094,81.10371398925781,77.5819091796875,70.61990356445312,57.26932907104492,47.00882339477539
18,86.70866394042969,86.70866394042969,86.70866394042969,86.70866394042969,84.60690307617188,80.13985443115234,76.08592224121094,71.79896545410156,58.122833251953125,47.452606201171875
