Balls Bowled,0,1,2,3,4,5,6,7,8,9
1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,99.47360302115436,99.47360302115436,99.47360302115436,,,,,,,
3,98.92351408586656,98.92351408586656,98.92351408586656,,,,,,,
4,98.32527630701615,98.32527630701615,98.32527630701615,,,,,,,
5,97.66422112992969,97.66422112992969,97.66422112992969,,,,,,,
6,97.02804766210306,97.02804766210306,97.02804766210306,,,,,,,
7,96.1825194328871,96.1825194328871,96.1825194328871,,,,,,,
8,95.49306701520176,95.49306701520176,95.49306701520176,95.49306701520176,,,,,,
9,94.80937610654858,94.80937610654858,94.80937610654858,94.80937610654858,,,,,,
10,94.17978319738856,94.17978319738856,94.17978319738856,93.42268041237114,,,,,,
11,93.38099275815529,93.38099275815529,93.31432377288196,93.31432377288196,,,,,,
12,92.54260340718446,92.54260340718446,92.54260340718446,88.28214883511842,,,,,,
13,91.44543322692506,91.44543322692506,91.44543322692506,88.87248621773134,88.87248621773134,,,,,
14,90.64120627412612,90.64120627412612,90.64120627412612,87.95839339202986,87.95839339202986,,,,,
15,89.72463179397548,89.72463179397548,89.72463179397548,87.81668930907482,87.81668930907482,,,,,
16,88.84062021314263,88.84062021314263,88.84062021314263,87.93019332251019,87.93019332251019,87.93019332251019,,,,
17,87.9289419151039,87.9289419151039,87.9289419151039,87.9289419151039,72.60975018190639,72.60975018190639,,,,
18,87.13921802827359,87.13921802827359,87.13921802827359,87.13921802827359,76.90694633606348,76.90694633606348,,,,
19,86.10668128628694,86.10668128628694,86.10668128628694,86.10668128628694,75.70798118124095,75.70798118124095,,,,
20,85.32899735154174,85.32899735154174,85.32899735154174,85.32899735154174,74.4275623923332,74.4275623923332,,,,
21,84.35198689896383,84.35198689896383,84.35198689896383,84.35198689896383,80.26020993031744,80.26020993031744,,,,
22,83.55395323585918,83.55395323585918,83.55395323585918,83.55395323585918,80.26292575892587,80.26292575892587,,,,
23,82.7163929244003,82.7163929244003,82.7163929244003,82.7163929244003,79.229559046078,,89.33333333333333,,,
24,81.90616668337387,81.90616668337387,81.90616668337387,81.90616668337387,81.90616668337387,12.903225806451612,12.903225806451612,,,
25,80.94870293929901,80.94870293929901,80.94870293929901,80.94870293929901,80.94870293929901,12.903225806451612,12.903225806451612,,,
26,80.09196684136458,80.09196684136458,80.09196684136458,80.09196684136458,80.09196684136458,11.29032258064516,11.29032258064516,,,
27,79.14887984910236,79.14887984910236,79.14887984910236,79.14887984910236,79.14887984910236,9.67741935483871,9.67741935483871,,,
28,78.14986124683212,78.14986124683212,78.14986124683212,78.14986124683212,78.14986124683212,78.14986124683212,48.03225806451613,,,
29,77.35000284453466,77.35000284453466,77.35000284453466,77.35000284453466,77.35000284453466,77.35000284453466,48.03225806451613,,,
30,76.45793770822789,76.45793770822789,76.45793770822789,76.45793770822789,76.45793770822789,76.45793770822789,76.45793770822789,1.6129032258064515,,
31,75.54171763619333,75.54171763619333,75.54171763619333,75.54171763619333,75.54171763619333,75.54171763619333,75.54171763619333,1.6129032258064515,,
32,74.92456458528964,74.92456458528964,74.92456458528964,74.92456458528964,74.92456458528964,74.92456458528964,74.92456458528964,,,
33,74.08430020810165,74.08430020810165,74.08430020810165,74.08430020810165,74.08430020810165,74.08430020810165,74.08430020810165,,,
34,73.04130947505114,73.04130947505114,73.04130947505114,73.04130947505114,73.04130947505114,73.04130947505114,73.04130947505114,,,
35,72.06279130736067,72.06279130736067,72.06279130736067,72.06279130736067,71.7053689934252,71.7053689934252,71.7053689934252,,,
36,71.11133956073029,71.11133956073029,71.11133956073029,71.11133956073029,70.0475053341315,70.0475053341315,70.0475053341315,,,
37,70.223175928928,70.223175928928,70.223175928928,70.223175928928,68.67616732945153,68.67616732945153,68.67616732945153,,,
38,69.75032628297627,69.75032628297627,69.75032628297627,69.75032628297627,68.83823254963248,68.83823254963248,68.83823254963248,,,
39,68.81450943395224,68.81450943395224,68.81450943395224,68.81450943395224,68.45513262648934,67.92074454808747,67.92074454808747,,,
40,68.2665053112165,68.2665053112165,68.2665053112165,68.2665053112165,67.51167672668772,64.59683907212015,64.59683907212015,,,
41,67.41046416139405,67.41046416139405,67.41046416139405,67.41046416139405,67.02695507763373,64.830623651599,64.830623651599,,,
42,66.60222964508243,66.60222964508243,66.60222964508243,66.60222964508243,66.19465369017124,64.76351092255939,64.76351092255939,,,
43,65.92827616549566,65.92827616549566,65.92827616549566,65.92827616549566,65.92827616549566,64.73044651113572,64.73044651113572,,,
44,65.16468821290466,65.16468821290466,65.16468821290466,65.16468821290466,65.16468821290466,64.28119490751303,64.28119490751303,,,
45,64.51307050544428,64.51307050544428,64.51307050544428,64.51307050544428,64.51307050544428,63.76128290774448,63.65622676393159,,,
46,63.780591669919474,63.780591669919474,63.780591669919474,63.780591669919474,63.780591669919474,62.233999481555664,60.17978688129258,,,
47,62.79756667221029,62.79756667221029,62.79756667221029,62.79756667221029,62.79756667221029,61.5861766889237,58.09525280842427,,,
48,62.1556693791959,62.1556693791959,62.1556693791959,62.1556693791959,62.1556693791959,61.72368524789066,57.23298878199097,,,
49,60.8831349210538,60.8831349210538,60.8831349210538,60.8831349210538,60.8831349210538,60.8831349210538,57.9799280191863,,,
50,60.28557782808704,60.28557782808704,60.28557782808704,60.28557782808704,60.28557782808704,59.83895703475355,53.75280122998222,53.75280122998222,,
51,59.66210922401395,59.66210922401395,59.66210922401395,59.66210922401395,59.66210922401395,59.16810039663724,52.52689820134964,52.52689820134964,,
52,59.06031229571241,59.06031229571241,59.06031229571241,59.06031229571241,59.06031229571241,58.88909142869167,52.00712613500927,52.00712613500927,,
53,58.26811011223125,58.26811011223125,58.26811011223125,58.26811011223125,58.26811011223125,57.50442051722552,49.026896004423534,49.026896004423534,,
54,57.422355933960425,57.422355933960425,57.422355933960425,57.422355933960425,57.422355933960425,56.38814127408034,47.74817714648778,47.74817714648778,,
55,56.440197966685616,56.440197966685616,56.440197966685616,56.440197966685616,56.440197966685616,55.449609867503824,46.046572299175125,46.046572299175125,,
56,55.689446322127296,55.689446322127296,55.689446322127296,55.689446322127296,55.689446322127296,54.97044704860242,45.16506821820685,45.05990456630802,,
57,55.04320618500622,55.04320618500622,55.04320618500622,55.04320618500622,55.04320618500622,54.87554578686704,39.32345894343256,39.32345894343256,,
58,53.801697006258784,53.801697006258784,53.801697006258784,53.801697006258784,53.801697006258784,53.5109195909894,37.8828648770242,37.8828648770242,,
59,52.926345812175285,52.926345812175285,52.926345812175285,52.926345812175285,52.926345812175285,52.69670487635594,39.71624209280254,39.71624209280254,,
60,52.31204260587845,52.31204260587845,52.31204260587845,52.31204260587845,52.31204260587845,51.9268023757778,39.43630290327929,39.43630290327929,,
61,52.36586453488322,52.36586453488322,52.36586453488322,52.36586453488322,52.36586453488322,51.26621433536114,42.407634257830615,38.19183701066115,,
62,50.83902545934527,50.83902545934527,50.83902545934527,50.83902545934527,50.83902545934527,50.090849832524846,43.08046475968219,35.952581815791824,,
63,50.070738454676615,50.070738454676615,50.070738454676615,50.070738454676615,50.070738454676615,50.070738454676615,41.65022288643489,33.840747295636696,,
64,49.26441167385644,49.26441167385644,49.26441167385644,49.26441167385644,49.26441167385644,49.129821108784384,44.265982446012615,32.7481022707722,22.77227722772277,
65,48.89966551067496,48.89966551067496,48.89966551067496,48.89966551067496,48.89966551067496,48.21715066304847,43.48955641706533,31.258178136111223,22.77227722772277,
66,48.22601430729155,48.22601430729155,48.22601430729155,48.22601430729155,48.22601430729155,48.19477082565744,42.37074781228539,31.75038254863427,22.647399875122645,
67,47.173804640440665,47.173804640440665,47.173804640440665,47.173804640440665,47.173804640440665,45.0633029216699,41.31972237415686,30.625915304562323,22.68902565932269,
68,46.340406320321954,46.340406320321954,46.340406320321954,46.340406320321954,46.340406320321954,44.93782696731087,41.41349115606538,33.79631434052596,17.21707417328526,
69,45.34202498994502,45.34202498994502,45.34202498994502,45.34202498994502,45.34202498994502,45.34202498994502,41.47212236212864,31.913996170030057,17.21707417328526,
70,44.86010860550134,44.86010860550134,44.86010860550134,44.86010860550134,44.86010860550134,44.86010860550134,40.73378849857151,31.170321127829308,20.355851572604283,
71,43.89135814398099,43.89135814398099,43.89135814398099,43.89135814398099,43.89135814398099,43.89135814398099,38.48654509578869,30.59320408399049,13.220876280996723,13.220876280996723
72,43.02586117018653,43.02586117018653,43.02586117018653,43.02586117018653,43.02586117018653,43.02586117018653,39.41838520353607,26.51156525106072,18.82080099901882,17.35756918068367
73,42.41449697343124,42.41449697343124,42.41449697343124,42.41449697343124,42.41449697343124,42.41449697343124,39.12703969303929,27.85171262224717,18.61944938532009,18.61944938532009
74,41.83804090015448,41.83804090015448,41.83804090015448,41.83804090015448,41.83804090015448,41.83804090015448,39.24981504778808,27.396189374505965,18.289416382019763,18.289416382019763
75,41.279779358905,41.279779358905,41.279779358905,41.279779358905,41.279779358905,41.279779358905,38.89336702438661,27.05074110762212,17.57764564214768,17.57764564214768
76,41.05818948463908,41.05818948463908,41.05818948463908,41.05818948463908,41.05818948463908,40.64832764517431,39.28514812150481,26.571680594529017,16.455865378490046,16.455865378490046
77,40.14339272296863,40.14339272296863,40.14339272296863,40.14339272296863,40.14339272296863,39.875318207074216,38.54951888616205,24.25865311641291,21.48384013433059,21.48384013433059
78,39.14354831152481,39.14354831152481,39.14354831152481,39.14354831152481,39.14354831152481,39.14354831152481,36.75197977141798,24.96679297124581,20.998293274544377,20.998293274544377
